index,date,state,fips,positive,negative,death,hospitalizedCurrently,inIcuCurrently,onVentilatorCurrently,deathIncrease,new positive cases,new negative cases,new deaths,new negative cases (last 7 days),new positive cases (last 7 days),new deaths (last 7 days),tests (last 7 days),death rate (last 7 days),positive case pct,new deaths (per capita),Hospitalized (per capita),In ICU (per capita),On Ventilator (per capita),new positive (per capita),tests (last 7 days per capita),testing rate of change,testing rate of change (last 7 days average),death pct rate of change,positive case pct rate of change,positive case pct rate of change (last 7 days average),positive cases rate of change,positive cases rate of change (last 7 days average)
8397,2020-03-05,NH,33,2.0,16.0,,,,,0,0.0,6.0,0,6.0,0.0,0.0,6.0,,0.0,0.0,,,,0.0,4.4232847607518996e-06,inf,0.0,,0.0,0.0,,0.0
8398,2020-03-05,NJ,34,1.0,,,,,,0,0.0,0.0,0,0.0,0.0,0.0,0.0,,,0.0,,,,0.0,0.0,,0.0,,,0.0,,0.0
8399,2020-03-05,NV,32,1.0,14.0,0.0,,,,0,0.0,0.0,0,0.0,0.0,0.0,0.0,,,0.0,,,,0.0,0.0,,0.0,,,0.0,,0.0
8400,2020-03-05,NY,36,22.0,76.0,,,,,0,16.0,28.0,0,28.0,16.0,0.0,44.0,0.0,0.36363636363636365,0.0,,,,8.187406039921076e-07,2.251536660978296e-06,inf,0.0,0.0,0.36363636363636365,0.36363636363636365,1.0,1.0
8401,2020-03-05,OH,39,0.0,7.0,,,,,0,0.0,0.0,0,0.0,0.0,0.0,0.0,,,0.0,,,,0.0,0.0,,0.0,,,0.0,,0.0
8402,2020-03-05,OR,41,3.0,45.0,,,,,0,0.0,16.0,0,16.0,0.0,0.0,16.0,,0.0,0.0,,,,0.0,3.817966059713466e-06,inf,0.0,,0.0,0.0,,0.0
8403,2020-03-05,RI,44,3.0,19.0,,,,,0,1.0,4.0,0,17.0,1.0,0.0,18.0,0.0,0.05555555555555555,0.0,,,,9.457919352321683e-07,1.702425483417903e-05,0.38461538461538464,1.9059829059829063,0.0,0.05555555555555555,0.013888888888888888,1.0,1.0
8404,2020-03-05,SC,45,0.0,5.0,,,,,0,0.0,0.0,0,0.0,0.0,0.0,0.0,,,0.0,,,,0.0,0.0,,0.0,,,0.0,,0.0
8405,2020-03-05,TN,47,1.0,,,,,,0,0.0,0.0,0,0.0,0.0,0.0,0.0,,,0.0,,,,0.0,0.0,,0.0,,,0.0,,0.0
8406,2020-03-05,TX,48,1.0,,,,,,0,0.0,0.0,0,0.0,0.0,0.0,0.0,,,0.0,,,,0.0,0.0,,0.0,,,0.0,,0.0
8407,2020-03-05,VA,51,0.0,18.0,,,,,0,0.0,0.0,0,0.0,0.0,0.0,0.0,,,0.0,,,,0.0,0.0,,0.0,,,0.0,,0.0
